"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:4XxcYQq3q2hxjTTKKyiyR4","Deaf","spotify:artist:0wXaC3fHGVXbhwn5iLZMMi","Just Mustard","spotify:album:4geKbR4o4eRdaeiGuAcJVu","Wednesday","spotify:artist:0wXaC3fHGVXbhwn5iLZMMi","Just Mustard","2018-05-02","https://i.scdn.co/image/ab67616d0000b27309e221900f2aeeb0e009b91e","1","6","312400","https://p.scdn.co/mp3-preview/485cce88587facac6b55aa3242a3317c1330330b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","QZDA51836274","","2022-11-25T05:39:35Z","crank wave,irish indie rock,irish post-punk","0.441","0.75","4","-6.886","1","0.0351","0.0617","0.00216","0.306","0.502","97.107","4","","Pizza Pizza Records","C 2018 Pizza Pizza Records, P 2018 Pizza Pizza Records"
"spotify:track:7fvs1psRkf1WWX4qJOq53N","Daisy - Spotify Singles","spotify:artist:2TwOrUcYnAlIiKmVQkkoSZ","Wet Leg","spotify:album:0dMeqAw8U02QpDifgEeY3Y","Spotify Singles","spotify:artist:2TwOrUcYnAlIiKmVQkkoSZ","Wet Leg","2022-09-21","https://i.scdn.co/image/ab67616d0000b273b3bf18651b4ceac056e0ee31","1","2","149443","https://p.scdn.co/mp3-preview/49c05a91ba9d0c3c5867513e95029e5a0b3e8d50?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","GBCEL2200555","","2022-10-06T05:00:58Z","crank wave,indie rock","0.549","0.798","3","-4.158","0","0.0476","0.392","0.000925","0.132","0.357","118.936","4","","Domino Recording Co","C 2022 Domino Recording Co Ltd, P 2022 Domino Recording Co Ltd"
"spotify:track:0fH8uflwlxMtc7OcyW29Tf","Killer","spotify:artist:4AgusFXPk24LCGMMplX34M","Palehound","spotify:album:4rXeKYqUL4swEixXxg9KFG","Black Friday","spotify:artist:4AgusFXPk24LCGMMplX34M","Palehound","2019-06-07","https://i.scdn.co/image/ab67616d0000b2739c68550ae13f09463fd89b57","1","5","250256","","false","0","US3R41938605","","2022-10-05T21:51:54Z","boston indie,boston rock,bubblegrunge,new england emo","0.495","0.635","9","-7.388","0","0.025","0.153","0.806","0.113","0.26","103.032","4","","Polyvinyl Records","C © 2019 Polyvinyl Record Co., P ℗ 2019 Polyvinyl Record Co."
"spotify:track:3b8Dw4RMiG19vzVEfGqh6Y","Hearts Underground","spotify:artist:0TqfIpfq65gBiU4m7BCe0O","Tallies","spotify:album:0IYt9ErByumJNI6ACkZvLb","Patina","spotify:artist:0TqfIpfq65gBiU4m7BCe0O","Tallies","2022-07-29","https://i.scdn.co/image/ab67616d0000b273601e0136b2ede1829fd6e8b7","1","2","228579","https://p.scdn.co/mp3-preview/c7f7943f9d78d0364a55ca6a24476eac49028f3e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","GBBRP2100529","","2022-09-30T02:49:27Z","canadian shoegaze","0.463","0.862","0","-7.78","1","0.0372","0.0358","0.0000487","0.325","0.881","146.028","4","","Kanine Records","C 2022 Kanine Records., P 2022 Kanine Records"
"spotify:track:2qmof4EZcXCjkLvqq9Moh4","Ferry","spotify:artist:1A0MGKQWFrqBVWMuI9984t","Moontype","spotify:album:5VwLgidNDdNDXVJn338ekT","Bodies of Water","spotify:artist:1A0MGKQWFrqBVWMuI9984t","Moontype","2021-04-02","https://i.scdn.co/image/ab67616d0000b273e2ff1874a0c8256496f46133","1","7","328838","https://p.scdn.co/mp3-preview/664ba22c13abf07c3fd617a1a866758771df861e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","QZNWU2033285","","2022-09-28T04:41:00Z","countrygaze","0.485","0.49","3","-9.554","1","0.0298","0.00801","0.000776","0.109","0.411","80.017","4","","Born Yesterday Records","C 2020 Born Yesterday Records, P 2020 Born Yesterday Records"
"spotify:track:5RmsCgqQKqZfOZWmLUNo1p","Postcard from Spain","spotify:artist:3qnQaCIYlxiFNyd4oIwuKW, spotify:artist:5yO8MmDV2hnMbiIoZGZMGr","Quarter-Life Crisis, Frances Quinlan","spotify:album:4mf3TsOogFepHEOy4iFRvU","Postcard from Spain","spotify:artist:3qnQaCIYlxiFNyd4oIwuKW, spotify:artist:2CgysNw5B7rFNRtRjQbPZ9","Quarter-Life Crisis, Ryan Hemsworth","2020-10-07","https://i.scdn.co/image/ab67616d0000b273f733d428ef6a312fa3a901b2","1","1","208864","https://p.scdn.co/mp3-preview/c22cfb90f02182b5bfd3d50ad7f1fd8c57da18cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","US2U62031403","","2022-09-22T20:57:03Z","bubblegrunge","0.538","0.343","6","-7.979","0","0.026","0.128","0.000389","0.113","0.0658","75.002","4","","Saddle Creek","C 2020 Saddle Creek, P 2020 Saddle Creek"
"spotify:track:1kZqGRYgjXHEq1M5IY0D9N","I'm Waiting for the Man - May 1965 Demo","spotify:artist:42TFhl7WlMRXiNqzSrnzPL","Lou Reed","spotify:album:3Et83FjIHml5vd3Q73mJL1","Words & Music, May 1965","spotify:artist:42TFhl7WlMRXiNqzSrnzPL","Lou Reed","2022-09-16","https://i.scdn.co/image/ab67616d0000b27330773e25afeadb61f3c7e22d","1","1","283853","https://p.scdn.co/mp3-preview/9012f79218832b2b2b743d52185c8fda68b6462f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","USDEA2218801","","2022-09-17T14:57:45Z","classic rock,glam rock,permanent wave,rock,singer-songwriter","0.61","0.224","5","-13.471","1","0.0314","0.981","0.0259","0.153","0.349","99.035","4","","Light In The Attic","C 2022 Canal Street Communications Inc. Under Exclusive License to Light in the Attic Records & Distribution, LLC, P 2022 Canal Street Communications Inc. Under Exclusive License to Light in the Attic Records & Distribution, LLC"
"spotify:track:6RjhMHiTo75UHoSs5FHeUB","Toby, Take a Bow","spotify:artist:4FdSsjcX7vzOnN5zNqQWAy","Casiotone For The Painfully Alone","spotify:album:0XzbndqkdITUltwXOIBYZJ","Twinkle Echo","spotify:artist:4FdSsjcX7vzOnN5zNqQWAy","Casiotone For The Painfully Alone","2003-09-09","https://i.scdn.co/image/ab67616d0000b2735c16f33e9be6e032a04e5d2f","1","3","119560","https://p.scdn.co/mp3-preview/90bdf90e52c2b4de62508db7c419a01b58a20873?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","usdy41812458","","2022-09-15T17:18:08Z","anti-folk,indietronica","0.751","0.696","2","-7.055","1","0.0475","0.613","0.872","0.105","0.722","120.789","4","","Orindal Records","C 2003 Orindal Records, P 2003 Orindal Records"
"spotify:track:0SqPnbidjlCxrebcXScsjA","pollinate me","spotify:artist:4PpncOYFkaKQZc82ONdm9c","wished bone","spotify:album:4vp7GQ1DnieFK0BnLBCOwg","cellar belly","spotify:artist:4PpncOYFkaKQZc82ONdm9c","wished bone","2018-05-11","https://i.scdn.co/image/ab67616d0000b273720736c59364a120e1682f72","1","5","271859","https://p.scdn.co/mp3-preview/956d101726971ef989bb1c2f28234ddbf9069dee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","SEYOK1826778","","2022-08-29T13:13:01Z","small room","0.593","0.553","2","-8.64","1","0.0282","0.45","0.811","0.147","0.448","111.647","4","","wished bone","C 2018 wished bone, P 2018 wished bone"
"spotify:track:2Kray2Kft9TnDb0Rhkfc5p","Somebody Else","spotify:artist:6R1b13BgmP15f21dQZpFz9","Pynch","spotify:album:0rPRQrMxmMBq9Jii0IwqDF","Somebody Else","spotify:artist:6R1b13BgmP15f21dQZpFz9","Pynch","2020-07-06","https://i.scdn.co/image/ab67616d0000b273e7234cb5d8ca4109f1de340c","1","1","331664","","false","0","NL1AP2050738","","2022-08-29T03:58:39Z","crank wave,lo-fi indie","0.662","0.695","2","-6.32","1","0.0633","0.0137","0.119","0.104","0.761","149.961","4","","Spinnup","C © 2020 Pynch, P ℗ 2020 Pynch"
